Price,Open,High,Low,Close,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Datetime,,,,,
2025-09-26 00:00:00+00:00,109014.1015625,109569.6875,108919.4375,109520.125,0
2025-09-26 01:00:00+00:00,109525.078125,109799.578125,109388.3203125,109710.296875,0
2025-09-26 02:00:00+00:00,109724.015625,109835.8125,109581.1875,109657.5859375,0
2025-09-26 03:00:00+00:00,109668.546875,109668.546875,109365.3984375,109632.96875,0
2025-09-26 04:00:00+00:00,109634.6875,109652.640625,109299.96875,109384.125,0
2025-09-26 05:00:00+00:00,109392.375,109633.0703125,109156.75,109318.796875,0
2025-09-26 06:00:00+00:00,109315.0859375,109684.1171875,109135.7734375,109396.375,0
2025-09-26 07:00:00+00:00,109420.515625,109652.8046875,109032.390625,109342.9296875,4756365312
2025-09-26 08:00:00+00:00,109473.609375,109689.234375,109456.859375,109612.8828125,1085186048
2025-09-26 09:00:00+00:00,109616.6796875,109770.34375,109496.390625,109613.8359375,0
2025-09-26 10:00:00+00:00,109630.921875,109630.921875,108865.8203125,108968.0703125,473341952
2025-09-26 11:00:00+00:00,108963.7109375,109249.4375,108754.2578125,109177.6875,339812352
2025-09-26 12:00:00+00:00,109149.6328125,109584.671875,108899.8671875,109468.640625,0
2025-09-26 13:00:00+00:00,109435.3203125,109783.3046875,109110.8046875,109744.421875,0
2025-09-26 14:00:00+00:00,109770.90625,109770.90625,108884.171875,108884.171875,1357930496
2025-09-26 15:00:00+00:00,108911.4453125,109393.5625,108911.4453125,109108.59375,0
2025-09-26 16:00:00+00:00,109073.8046875,109665.4921875,109073.8046875,109500.84375,0
2025-09-26 17:00:00+00:00,109512.5234375,110034.6953125,109488.1484375,109903.2734375,0
2025-09-26 18:00:00+00:00,109968.640625,110340.0390625,109832.65625,109832.65625,0
2025-09-26 19:00:00+00:00,109797.53125,109797.53125,109103.9296875,109220.7109375,0
2025-09-26 20:00:00+00:00,109237.96875,109359.8359375,109161.703125,109359.8359375,0
2025-09-26 21:00:00+00:00,109357.3125,109569.890625,109268.84375,109560.875,0
2025-09-26 22:00:00+00:00,109519.109375,109668.1953125,109432.515625,109600.4609375,254251008
2025-09-26 23:00:00+00:00,109613.125,109720.859375,109506.0234375,109716.9140625,0
2025-09-27 00:00:00+00:00,109702.3671875,109703.78125,109546.03125,109644.4765625,0
2025-09-27 01:00:00+00:00,109691.515625,109703.34375,109418.6953125,109475.515625,0
2025-09-27 02:00:00+00:00,109499.6328125,109529.1171875,109399.9765625,109468.6484375,0
